year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats
2014,450000,145500,Diesel,Individual,Manual,First Owner,23.0,1248 CC,74.0,190Nm@ 2000rpm,5.0
2014,370000,120000,Diesel,Individual,Manual,Second Owner,21.0,1498 CC,103.0,250Nm@ 1500-2500rpm,5.0
2006,158000,140000,Petrol,Individual,Manual,Third Owner,17.0,1497 CC,78.0,"12.7@ 2,700(kgm@ rpm)",5.0
2010,225000,127000,Diesel,Individual,Manual,First Owner,23.0,1396 CC,90.0,22.4 kgm at 1750-2750rpm,5.0
2007,130000,120000,Petrol,Individual,Manual,First Owner,16.0,1298 CC,88.0,"11.5@ 4,500(kgm@ rpm)",5.0
2017,440000,45000,Petrol,Individual,Manual,First Owner,20.0,1197 CC,81.0,113.75nm@ 4000rpm,5.0
2007,96000,175000,LPG,Individual,Manual,First Owner,17.0,1061 CC,57.0,"7.8@ 4,500(kgm@ rpm)",5.0
2001,45000,5000,Petrol,Individual,Manual,Second Owner,16.0,796 CC,37.0,59Nm@ 2500rpm,4.0
2011,350000,90000,Diesel,Individual,Manual,First Owner,23.0,1364 CC,67.0,170Nm@ 1800-2400rpm,5.0
2013,200000,169000,Diesel,Individual,Manual,First Owner,20.0,1399 CC,68.0,160Nm@ 2000rpm,5.0
2014,500000,68000,Diesel,Individual,Manual,Second Owner,19.0,1461 CC,108.0,248Nm@ 2250rpm,5.0
2005,92000,100000,Petrol,Individual,Manual,Second Owner,17.0,993 CC,60.0,78Nm@ 4500rpm,5.0
2009,280000,140000,Diesel,Individual,Manual,Second Owner,19.0,1248 CC,73.0,190Nm@ 2000rpm,5.0
2007,200000,80000,Petrol,Individual,Manual,Second Owner,,,,,
2009,180000,90000,Petrol,Individual,Manual,Second Owner,18.0,1061 CC,67.0,84Nm@ 3500rpm,5.0
2016,400000,40000,Petrol,Individual,Manual,First Owner,18.0,1198 CC,82.0,115Nm@ 3500-3600rpm,5.0
2016,778000,70000,Diesel,Individual,Manual,Second Owner,24.0,1248 CC,88.0,200Nm@ 1750rpm,7.0
2012,500000,53000,Diesel,Individual,Manual,Second Owner,23.0,1396 CC,90.0,22.4 kgm at 1750-2750rpm,5.0
2002,150000,80000,Petrol,Individual,Manual,Second Owner,19.0,796 CC,46.0,62Nm@ 3000rpm,5.0
2016,680000,100000,Diesel,Individual,Manual,First Owner,22.0,1396 CC,88.0,219.7Nm@ 1500-2750rpm,5.0
2011,174000,100000,Diesel,Individual,Manual,Second Owner,21.0,1461 CC,64.0,160Nm@ 2000rpm,5.0
2017,950000,50000,Diesel,Individual,Manual,First Owner,25.0,1498 CC,98.0,200Nm@ 1750rpm,5.0
2015,525000,40000,Diesel,Individual,Manual,First Owner,26.0,1248 CC,74.0,190Nm@ 2000rpm,5.0
2012,600000,72000,Diesel,Individual,Manual,First Owner,21.0,1248 CC,88.0,200Nm@ 1750rpm,5.0
2018,500000,35000,Petrol,Individual,Manual,First Owner,20.0,1199 CC,83.0,114Nm@ 3500rpm,5.0
2016,575000,45000,Petrol,Individual,Manual,First Owner,21.0,1197 CC,83.0,115Nm@ 4000rpm,5.0
2017,275000,28000,Petrol,Individual,Manual,First Owner,24.0,796 CC,47.0,69Nm@ 3500rpm,5.0
2013,300000,70000,Diesel,Individual,Manual,First Owner,18.0,1248 CC,73.0,172.5Nm@ 1750rpm,7.0
2009,220000,120000,Petrol,Individual,Manual,First Owner,18.0,1061 CC,67.0,84Nm@ 3500rpm,5.0
2018,254999,25000,Petrol,Individual,Manual,First Owner,16.0,796 CC,34.0,59Nm@ 2500rpm,8.0
2017,670000,70000,Diesel,Individual,Manual,First Owner,24.0,1248 CC,88.0,200Nm@ 1750rpm,5.0
2003,70000,50000,Petrol,Individual,Manual,Second Owner,,,,,
2012,150000,35000,Petrol,Individual,Manual,Second Owner,14.0,796 CC,35.0,6.1kgm@ 3000rpm,5.0
2018,730000,2388,Petrol,Individual,Manual,First Owner,18.0,1197 CC,81.0,114.7Nm@ 4000rpm,5.0
2017,650000,16200,Diesel,Individual,Manual,First Owner,24.0,1248 CC,88.0,200Nm@ 1750rpm,5.0
2019,330000,10000,CNG,Individual,Manual,Second Owner,33.0,796 CC,40.0,60Nm@ 3500rpm,4.0
