iter	MultiClassOneVsAll
0	0.6599227848
1	0.6304830078
2	0.6042725631
3	0.5808414317
4	0.5598201157
5	0.540901742
6	0.5238288687
7	0.5083835894
8	0.4943799939
9	0.481658346
10	0.4700805279
11	0.4595264349
12	0.4498910924
13	0.4410823276
14	0.4330188719
15	0.4256288025
16	0.4188482513
17	0.4126203288
18	0.4068942203
19	0.4016244227
20	0.3967700957
21	0.3922945075
22	0.3881645587
23	0.3843503714
24	0.3808249328
25	0.3775637854
26	0.3745447556
27	0.3717477157
28	0.3691543748
29	0.3667480934
30	0.3645137199
31	0.3624374449
32	0.3605066714
33	0.3587098991
34	0.3570366212
35	0.3554772313
36	0.3532143992
37	0.3518185039
38	0.3505791018
39	0.3485366319
40	0.3472882969
41	0.3461465934
42	0.3447702583
43	0.3428042723
44	0.3416858361
45	0.3404899862
46	0.3394396393
47	0.3381709018
48	0.3370539304
49	0.3356153529
50	0.3346863249
51	0.3338433848
52	0.3330405295
53	0.3316535077
54	0.3307880847
55	0.3299516488
56	0.3291615644
57	0.3284117231
58	0.3276089522
59	0.3268221365
60	0.3262118426
61	0.3253424947
62	0.3245452966
63	0.3236552251
64	0.3226691043
65	0.3219590389
66	0.3211494521
67	0.3202673123
68	0.3192294172
69	0.3182381141
70	0.3172660563
71	0.3165243805
72	0.3156054255
73	0.3148883821
74	0.3139985106
75	0.3131775492
76	0.3125945653
77	0.3117674544
78	0.3111592495
79	0.3104917225
80	0.3099536269
81	0.3094187989
82	0.3085126823
83	0.3077271175
84	0.3071826582
85	0.3065251233
86	0.30596506
87	0.3054855251
88	0.3050002326
89	0.3044634202
90	0.3039666921
91	0.3034150004
92	0.3028524633
93	0.302307135
94	0.301794477
95	0.3012777205
96	0.3007028604
97	0.300276401
98	0.2997056241
99	0.2993017439
100	0.2988766787
101	0.2984897356
102	0.2979125127
103	0.2974024666
104	0.2970175303
105	0.2965242512
106	0.2961117236
107	0.2957880236
108	0.2951905819
109	0.2948693369
110	0.2944988584
111	0.2942204572
112	0.2936797175
113	0.2932118446
114	0.29280151
115	0.2922535362
116	0.2917512633
117	0.2913295145
118	0.2908290687
119	0.2905892036
120	0.2902031679
121	0.2897488873
122	0.2892941061
123	0.2888803363
124	0.2884981405
125	0.2881243974
126	0.2877152564
127	0.2873348137
128	0.2870406169
129	0.2868159155
130	0.2863344337
131	0.2860628776
132	0.2858235126
133	0.2855884792
134	0.2852179746
135	0.2850159327
136	0.2846293103
137	0.284364127
138	0.2840068054
139	0.2836917636
140	0.2832854012
141	0.2828586465
142	0.2825569825
143	0.282274803
144	0.2819488422
145	0.2815815035
146	0.2811937016
147	0.2809173289
148	0.2806157215
149	0.2802438288
150	0.2798729858
151	0.2794571422
152	0.2791612008
153	0.278869873
154	0.2783980259
155	0.2780240335
156	0.277715567
157	0.2772872076
158	0.2768543381
159	0.2763561333
160	0.2760208574
161	0.2758022609
162	0.2755619087
163	0.2754020557
164	0.2751437578
165	0.2748054967
166	0.2744821244
167	0.2741761407
168	0.273829431
169	0.2735366617
170	0.2730890895
171	0.2727373814
172	0.2724349408
173	0.2720757852
174	0.2717823503
175	0.2713795314
176	0.2710759162
177	0.2707665658
178	0.2705228473
179	0.2702105733
180	0.2699592085
181	0.2696880924
182	0.2695461311
183	0.269273166
184	0.2689048403
185	0.2686798694
186	0.2684929109
187	0.2681265538
188	0.2679042314
189	0.267615438
190	0.2673250492
191	0.2670464684
192	0.2668190473
193	0.2664796126
194	0.2663372393
195	0.2661472128
196	0.2659145746
197	0.2656829329
198	0.2655236304
199	0.2652087039
200	0.2650277877
201	0.264892432
202	0.2646863403
203	0.2645394872
204	0.2642742456
205	0.2639818265
206	0.2637800969
207	0.2634603174
208	0.2632241579
209	0.2630379008
210	0.2627915489
211	0.262679462
212	0.2625120236
213	0.2621312032
214	0.2619162193
215	0.2616030181
216	0.2614241835
217	0.2610906035
218	0.2607670493
219	0.2603734607
220	0.260206278
221	0.2599001765
222	0.2596835836
223	0.2593921257
224	0.2591197383
225	0.2588329587
226	0.258640423
227	0.2584397295
228	0.2581819961
229	0.2579734318
230	0.2577510489
231	0.2575880275
232	0.2573148286
233	0.2570706772
234	0.2568393019
235	0.2565806201
236	0.256398471
237	0.2562218156
238	0.256101237
239	0.2558309016
240	0.2556262096
241	0.2555173869
242	0.2553057726
243	0.2550396806
244	0.2548109469
245	0.2545950428
246	0.2542905987
247	0.2541627352
248	0.2540577452
249	0.2539544344
250	0.2537775272
251	0.2536508727
252	0.2533584451
253	0.2531020795
254	0.2528447545
255	0.252596163
256	0.2524480021
257	0.2522693443
258	0.2520528939
259	0.2517533087
260	0.2515835333
261	0.2512367451
262	0.2510362823
263	0.2509019373
264	0.250739686
265	0.250488135
266	0.2503442774
267	0.2500886444
268	0.2498801077
269	0.2497028155
270	0.2493943193
271	0.249127892
272	0.2490415427
273	0.2488673724
274	0.2487588086
275	0.2485833585
276	0.2484244509
277	0.2482749297
278	0.2481756354
279	0.2480125295
280	0.247899807
281	0.2476547349
282	0.2474704507
283	0.2472593482
284	0.2469981211
285	0.2468902699
286	0.2466336819
287	0.2464444452
288	0.2462524869
289	0.2461200332
290	0.2458561815
291	0.2456374403
292	0.2454454854
293	0.2453255396
294	0.2450782586
295	0.2448901939
296	0.2446648962
297	0.2444760152
298	0.2443857187
299	0.2442294066
300	0.2440202024
301	0.2438619302
302	0.2436173765
303	0.243448228
304	0.2432931036
305	0.2430794945
306	0.2428652414
307	0.2427778164
308	0.2426854197
309	0.2424275915
310	0.2422168982
311	0.2420618145
312	0.2419459059
313	0.2418523894
314	0.2415649629
315	0.2414203153
316	0.2413030306
317	0.2411384607
318	0.2410404967
319	0.2408116384
320	0.2406812846
321	0.2405106456
322	0.2402923579
323	0.2401023987
324	0.2399882471
325	0.2398792228
326	0.2398090939
327	0.2396730906
328	0.239553291
329	0.2394289081
330	0.2393244078
331	0.2390883256
332	0.239003628
333	0.2387998188
334	0.2386656413
335	0.2385241612
336	0.2384128038
337	0.238171448
338	0.2380591803
339	0.2379868923
340	0.2378788353
341	0.2377589318
342	0.2376528833
343	0.2375250542
344	0.2374058522
345	0.2371314039
346	0.2369727281
347	0.2368267705
348	0.2365350861
349	0.2363941933
350	0.2362016326
351	0.236087838
352	0.2359157023
353	0.2357256412
354	0.2355983703
355	0.2353924428
356	0.2352225922
357	0.2350976294
358	0.2349403225
359	0.234805902
360	0.2346588459
361	0.2345854056
362	0.2345295327
363	0.2344232102
364	0.2342758269
365	0.234118462
366	0.2340280706
367	0.2338665938
368	0.2336819686
369	0.2336025666
370	0.2335172437
371	0.2333961343
372	0.2333255628
373	0.2331916951
374	0.233009125
375	0.2329401144
376	0.2327011063
377	0.2326014386
378	0.2324308503
379	0.2323313394
380	0.2322162746
381	0.2321123697
382	0.2318917821
383	0.2318239629
384	0.2317009826
385	0.2315455474
386	0.2314121355
387	0.2312495755
388	0.2310649683
389	0.2308648438
390	0.2308025311
391	0.2306899601
392	0.2305392596
393	0.2304399251
394	0.2302898571
395	0.2301764266
396	0.2301008364
397	0.2300151618
398	0.2298257395
399	0.2297634954
400	0.2296041028
401	0.2295043697
402	0.2293888309
403	0.2292583781
404	0.2291574577
405	0.2289629378
406	0.2288947203
407	0.2287834462
408	0.2285847379
409	0.2283491956
410	0.2281697324
411	0.2280655151
412	0.227957977
413	0.2278597452
414	0.2277691288
415	0.2276767245
416	0.2275663362
417	0.2273723893
418	0.2272952456
419	0.227228582
420	0.2271354421
421	0.2270293173
422	0.2268944736
423	0.2267699124
424	0.2266536131
425	0.2264896944
426	0.2263770621
427	0.2261729008
428	0.2260879441
429	0.2258802681
430	0.2256861565
431	0.225509282
432	0.2254126906
433	0.2253470985
434	0.2252617866
435	0.2251801774
436	0.2250083654
437	0.2248660377
438	0.2247624783
439	0.2246524831
440	0.2245793892
441	0.2245079938
442	0.2244232979
443	0.2243264805
444	0.2241969773
445	0.2241253548
446	0.2240357348
447	0.2239361467
448	0.2238718949
449	0.2236769017
450	0.2236193885
451	0.2235426309
452	0.2234604196
453	0.2232851638
454	0.2232081927
455	0.2230278195
456	0.2228883474
457	0.2228194828
458	0.2227170873
459	0.2226698643
460	0.222488659
461	0.2223991029
462	0.2222204302
463	0.2220328627
464	0.2218611662
465	0.2217803025
466	0.221587153
467	0.2215212333
468	0.2214262184
469	0.2213179223
470	0.2212607387
471	0.2211859226
472	0.2210525054
473	0.220921586
474	0.2207826195
475	0.220666104
476	0.2205788316
477	0.2203993808
478	0.2203295655
479	0.2202677688
480	0.2201833277
481	0.2200656296
482	0.219936457
483	0.2198799807
484	0.2197559063
485	0.219711787
486	0.219547576
487	0.2193608161
488	0.2191954139
489	0.2191055837
490	0.2190625916
491	0.219004894
492	0.2188979786
493	0.2187473251
494	0.2185397253
495	0.2184631322
496	0.21835238
497	0.2181605578
498	0.21800608
499	0.2179589017
500	0.2178402385
501	0.2176908562
502	0.2175795118
503	0.2173941291
504	0.2173110754
505	0.2171047199
506	0.2170034534
507	0.2168883481
508	0.2168010181
509	0.2166667317
510	0.2165419738
511	0.2164836682
512	0.2164407744
513	0.2163787041
514	0.2162295722
515	0.2161270645
516	0.2160150986
517	0.2159454841
518	0.2158339011
519	0.2157231719
520	0.2155864496
521	0.2155400034
522	0.2155053127
523	0.2154111242
524	0.2153105139
525	0.2151890482
526	0.2150798889
527	0.2149875784
528	0.2149006208
529	0.2148446177
530	0.2147966841
531	0.214695206
532	0.2145386274
533	0.2144339626
534	0.2143898878
535	0.2142543734
536	0.2142188026
537	0.2140805614
538	0.2139707364
539	0.2139165606
540	0.2138626297
541	0.213711992
542	0.213581939
543	0.2134595201
544	0.2134036993
545	0.2133629361
546	0.2132982127
547	0.2131625561
548	0.2130300097
549	0.2129871147
550	0.2128581127
551	0.212813519
552	0.2127868361
553	0.2126618872
554	0.2125811059
555	0.2124426288
556	0.2123425154
557	0.2122346211
558	0.212106869
559	0.2120298154
560	0.2119332835
561	0.2118773784
562	0.2118297769
563	0.2116778262
564	0.2115515278
565	0.2114634079
566	0.2114187202
567	0.2112933583
568	0.2112430396
569	0.2111108914
570	0.2109646989
571	0.2109183346
572	0.2108616734
573	0.2107256602
574	0.2106313685
575	0.2105764012
576	0.2105233587
577	0.2104091314
578	0.2103588801
579	0.210296869
580	0.2102075892
581	0.2101113446
582	0.2100271714
583	0.209947817
584	0.2097893968
585	0.209708488
586	0.2096534244
587	0.2095001578
588	0.209377223
589	0.2093282677
590	0.2092068451
591	0.209120891
592	0.2090182205
593	0.208986452
594	0.208847618
595	0.208749551
596	0.2087201369
597	0.2086750193
598	0.2085126794
599	0.2084089901
600	0.2083367985
601	0.2082153527
602	0.208142813
603	0.2080385293
604	0.2079154605
605	0.2078423758
606	0.207746456
607	0.2076800027
608	0.2076081588
609	0.2075741239
610	0.2075405955
611	0.2074784
612	0.2073526625
613	0.2071792387
614	0.2070448509
615	0.2069913612
616	0.2068828253
617	0.2068257157
618	0.2067955732
619	0.206748067
620	0.2066900741
621	0.2065661112
622	0.2064878443
623	0.2064242049
624	0.2062945461
625	0.2062334436
626	0.2062000122
627	0.2061284356
628	0.2060223927
629	0.2058991863
630	0.2057996574
631	0.2057578151
632	0.2056575319
633	0.2055320765
634	0.2054049217
635	0.2053189382
636	0.2052658635
637	0.2052316877
638	0.2051397683
639	0.2050708033
640	0.2050318253
641	0.2049658072
642	0.2048886259
643	0.2048088623
644	0.2047218102
645	0.2046649697
646	0.2046128663
647	0.2045660392
648	0.2044568513
649	0.2043710834
650	0.2043374363
651	0.2042215772
652	0.2040957997
653	0.2040547621
654	0.2040071476
655	0.2039680573
656	0.2038685673
657	0.203799063
658	0.2036895127
659	0.2035996422
660	0.2035239796
661	0.2033926622
662	0.2033563051
663	0.2032404885
664	0.2031827352
665	0.2031080283
666	0.2030208325
667	0.2028949391
668	0.2028176005
669	0.2027133929
670	0.2026813769
671	0.202649965
672	0.2026154677
673	0.2025304951
674	0.2024324513
675	0.2023778406
676	0.2022686329
677	0.2021838578
678	0.2021349799
679	0.2020875366
680	0.2020192207
681	0.2019378201
682	0.2018830662
683	0.2017806116
684	0.2017006145
685	0.2016661492
686	0.2016334558
687	0.2015433063
688	0.2014957251
689	0.2014628035
690	0.2013946189
691	0.2013730386
692	0.2012959172
693	0.2012524709
694	0.2011853826
695	0.2011442215
696	0.2010197837
697	0.2009750529
698	0.2009408358
699	0.2008068926
700	0.2006976468
701	0.2006445183
702	0.2005704393
703	0.2005336192
704	0.2005084391
705	0.200456528
706	0.200346324
707	0.2002349073
708	0.200133574
709	0.2000819325
710	0.1999406066
711	0.1998804183
712	0.1998485546
713	0.1998068549
714	0.199784066
715	0.19974202
716	0.1996332764
717	0.1995719388
718	0.199480387
719	0.1993717965
720	0.1993414385
721	0.1992361272
722	0.1991991021
723	0.1991723937
724	0.1991436439
725	0.1990358023
726	0.1989854519
727	0.1988818076
728	0.1987996761
729	0.1987664828
730	0.1986599682
731	0.1986157411
732	0.1985644533
733	0.1984599327
734	0.1984057527
735	0.1982819073
736	0.1982117012
737	0.198096644
738	0.1979793437
739	0.1978808739
740	0.1978047384
741	0.1977469729
742	0.1976495899
743	0.1975949915
744	0.1975371219
745	0.1974762187
746	0.1974292186
747	0.1973933274
748	0.1973129679
749	0.1971966763
750	0.1971247758
751	0.1970052117
752	0.1969382106
753	0.1968878099
754	0.1968651944
755	0.1968052467
756	0.1967660228
757	0.196708344
758	0.1966247383
759	0.1965490771
760	0.1965221886
761	0.196465952
762	0.1963994575
763	0.1963037465
764	0.1962658115
765	0.1961702069
766	0.1960958823
767	0.1960350681
768	0.1959803702
769	0.1959267019
770	0.1958826069
771	0.1958233913
772	0.1957228967
773	0.1957009681
774	0.1955803417
775	0.1954252072
776	0.1953242834
777	0.1952527711
778	0.1951922117
779	0.1951551305
780	0.1951173301
781	0.1950493668
782	0.1949873287
783	0.1949239207
784	0.1948754377
785	0.1947846538
786	0.1947487373
787	0.1947222849
788	0.194628842
789	0.1945388219
790	0.1944887033
791	0.1944255579
792	0.1943927472
793	0.194364612
794	0.1942811298
795	0.194222833
796	0.1941987637
797	0.1940883004
798	0.1939725926
799	0.1939028083
800	0.1938203588
801	0.1937659903
802	0.1936965325
803	0.1936430233
804	0.1936048772
805	0.1934871633
806	0.1934234437
807	0.193391975
808	0.1933451557
809	0.1932852549
810	0.1932094631
811	0.1930857418
812	0.1930459912
813	0.193000515
814	0.1929532384
815	0.1929250656
816	0.1928545101
817	0.1927481415
818	0.1926527348
819	0.1925840297
820	0.1925119459
821	0.192484789
822	0.1923902992
823	0.1923381832
824	0.1922789945
825	0.1921981698
826	0.192159339
827	0.192090306
828	0.1920542172
829	0.1919973064
830	0.1919075722
831	0.1918559376
832	0.1917830246
833	0.1917241164
834	0.1916405048
835	0.1915916708
836	0.1915544188
837	0.1914946561
838	0.1914441328
839	0.1913990492
840	0.1912992245
841	0.191278016
842	0.1912430608
843	0.191211896
844	0.1911505109
845	0.191076112
846	0.1910273243
847	0.1909501858
848	0.1909286852
849	0.1908658487
850	0.1908293651
851	0.1906844827
852	0.1906046392
