iter	Passed	Remaining
0	3	66469
1	5	54469
2	7	51364
3	10	51978
4	12	49438
5	14	48133
6	16	47046
7	18	46827
8	20	46162
9	22	45578
10	24	45331
11	27	45518
12	29	45016
13	31	44655
14	33	44412
15	35	44734
16	38	45714
17	42	46647
18	45	47359
19	47	47057
20	49	46719
21	51	46443
22	53	46325
23	55	46475
24	57	46234
25	59	46041
26	61	45835
27	64	46036
28	66	45787
29	68	45637
30	70	45444
31	72	45482
32	75	45383
33	77	45233
34	79	45095
35	81	45110
36	83	45177
37	85	45052
38	87	44985
39	89	44864
40	92	45253
41	94	45127
42	96	45000
43	98	44892
44	101	45006
45	103	44990
46	105	44885
47	107	44782
48	109	44735
49	112	44710
50	114	44627
51	116	44554
52	118	44538
53	120	44666
54	123	44606
55	125	44532
56	127	44439
57	129	44485
58	131	44432
59	133	44374
60	135	44314
61	137	44259
62	139	44217
63	141	44148
64	143	44088
65	145	44046
66	148	44235
67	150	44190
68	152	44128
69	154	44065
70	157	44288
71	161	44677
72	163	44620
73	166	44743
74	168	44748
75	170	44683
76	172	44621
77	175	44718
78	177	44715
79	179	44655
80	181	44627
81	183	44564
82	186	44636
83	188	44574
84	189	44515
85	191	44453
86	194	44414
87	196	44406
88	198	44359
89	200	44296
90	202	44243
91	205	44374
92	207	44326
93	209	44281
94	211	44242
95	213	44295
96	215	44252
97	217	44206
98	219	44156
99	221	44121
100	224	44139
101	226	44094
102	228	44071
103	230	44030
104	232	44119
105	234	44081
106	236	44035
107	238	43991
108	241	43980
109	243	43993
110	245	43951
111	247	43915
112	249	43888
113	251	43892
114	253	43853
115	255	43819
116	257	43784
117	261	44094
118	264	44243
119	268	44400
120	272	44783
121	276	45014
122	280	45265
123	282	45326
124	284	45283
125	286	45235
126	289	45268
127	291	45289
128	293	45245
129	295	45204
130	298	45277
131	300	45232
132	302	45191
133	304	45156
134	307	45198
135	309	45153
136	311	45110
137	313	45071
138	315	45067
139	317	45078
140	319	45040
141	321	45015
142	324	45000
143	326	45013
144	328	44976
145	330	44941
146	332	44909
147	335	44973
148	337	45009
149	339	44971
150	341	44929
151	344	44928
152	346	44894
153	348	44866
154	350	44830
155	352	44844
156	355	44943
157	358	45025
158	361	45098
159	364	45178
160	367	45245
161	370	45333
162	373	45402
163	375	45366
164	377	45327
165	379	45289
166	381	45292
167	383	45272
168	385	45239
169	387	45206
170	389	45170
171	391	45181
172	393	45149
173	395	45114
174	397	45078
175	400	45081
176	402	45048
177	404	45013
178	406	44982
179	408	44955
180	410	44985
181	412	44953
182	415	44953
183	417	44919
184	419	44948
185	421	44918
186	423	44889
187	425	44856
188	427	44834
189	430	44847
190	432	44821
191	434	44790
192	436	44760
193	438	44789
194	440	44759
195	442	44729
196	444	44702
197	447	44719
198	449	44712
199	451	44683
200	453	44652
201	455	44636
202	457	44636
203	459	44613
204	461	44603
205	463	44576
206	466	44649
207	468	44624
208	470	44598
209	473	44578
210	475	44598
211	477	44591
212	479	44566
213	481	44543
214	483	44528
