name,price,manufacturer
"Apple Mac Mini Desktop (Late 2020): M1, 16GB RAM, 256GB SSD",$799,Adorama
"Lenovo ThinkBook 13s G2: 13.3"" QHD+ IPS, i5-1135G7, 16GB LPDDR4X, 512GB PCIe SSD, Thunderbolt 4, Win10P @ $674 + F/S at Lenovo",$674,Lenovo
"27"" Dell S2721DGF 1440p 165Hz FreeSync IPS Monitor",$310,eBay
Up to 50% off Razer Inputs and Video Game Accessories at Amazon,,Amazon
"Lenovo IdeaPad Gaming 3 Laptop: 15.6"" FHD 120Hz IPS, Ryzen 5 5600H, 8GB DDR4, RTX 3050, 512GB PCIe SSD, Win10H @ $749 + F/S",$749,Walmart
Up to 40% off Logitech Gaming in Amazon dotd,,Amazon
"FIODIO Wired Gaming Keyboard and Mouse Combo, RGB Rainbow Backlit Ergonomic Keyboards with 104 Multimedia Keys Wrist Rest $4.2",$4.20,Amazon
Intel Core i9 12900K Unlocked 16-Core 3.2GHz Desktop Processor $549.99 in-store only,$549.99,Micro Center
Cooler Master Hyper 212 Black Edition CPU Cooler Heatsink Fan LGA1151 AM4 $18 AR Amazon.com,$17.99,Amazon
"Costco Members: $50 Roblox Game Card $40, $100 Roblox Game Card (Email Delivery)",$80,Costco Wholesale
"2021 TurboTax Premier free for some Fidelity customers (Premium Services, Active Traders, Private Client), YMMV",,Fidelity
"PNY Technologies CS900 1TB SATA III 2.5"" Internal SSD $60 free shipping",$59.99,Adorama
500GB WD Blue SN550 NVMe SSD @Newegg $40,$40,Newegg
Microsoft Surface Duo 256GB (AT&T Locked) - $379.99 at Woot for Prime Members Only,$379.99,Woot!
16GB (2x 8) G.SKILL Ripjaws V Series DDR4 3600 Desktop RAM kit @Newegg $55,$55,Newegg
HP Omen 16 AMD 5800H RTX 3070 QHD $1455.35,,HP
512GB Apple iPad Pro 12.9 M1 Chip Wi-Fi 5 (Silver Mid 2021) $1269 + free s/h at Adorama,"$1,269",Adorama
Intel Core i7-12700K Alder Lake 3.6GHz $299 microcenter in store,$299,Micro Center
MSI Optix G273 27” 165 hz monitor - $169.99 Costco,$169.99,Costco Wholesale
Qnap QHora-301W AX3600 Wi-Fi Router w/ 2 10GbE NAS Ports $200 + free s/h Adorama,$199.99,Adorama
OWC has the 18.0TB WESTERN DIGITAL ULTRASTAR DC HC550 SATA Data Center Class Hard drive - 5yr warranty free s&h $348.75,$348.75,Other World Computing
AMD Ryzen 7 5700G 3.8Ghz 8-Core Processor w/ Wraith Stealth Cooler,$270,Micro Center
