MSSubClass,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,TotalSF,SalePrice
60,8450,7,5,2003,2003,706,0,150,856,856,854,0,1710,1,0,2,1,3,1,8,0,2,548,0,61,0,0,0,0,0,2,2008,2566,208500
20,9600,6,8,1976,1976,978,0,284,1262,1262,0,0,1262,0,1,2,0,3,1,6,1,2,460,298,0,0,0,0,0,0,5,2007,2524,181500
60,11250,7,5,2001,2002,486,0,434,920,920,866,0,1786,1,0,2,1,3,1,6,1,2,608,0,42,0,0,0,0,0,9,2008,2706,223500
70,9550,7,5,1915,1970,216,0,540,756,961,756,0,1717,1,0,1,0,3,1,7,1,3,642,0,35,272,0,0,0,0,2,2006,2473,140000
60,14260,8,5,2000,2000,655,0,490,1145,1145,1053,0,2198,1,0,2,1,4,1,9,1,3,836,192,84,0,0,0,0,0,12,2008,3343,250000
50,14115,5,5,1993,1995,732,0,64,796,796,566,0,1362,1,0,1,1,1,1,5,0,2,480,40,30,0,320,0,0,700,10,2009,2158,143000
20,10084,8,5,2004,2005,1369,0,317,1686,1694,0,0,1694,1,0,2,0,3,1,7,1,2,636,255,57,0,0,0,0,0,8,2007,3380,307000
60,10382,7,6,1973,1973,859,32,216,1107,1107,983,0,2090,1,0,2,1,3,1,7,2,2,484,235,204,228,0,0,0,350,11,2009,3197,200000
50,6120,7,5,1931,1950,0,0,952,952,1022,752,0,1774,0,0,2,0,2,2,8,2,2,468,90,0,205,0,0,0,0,4,2008,2726,129900
190,7420,5,6,1939,1950,851,0,140,991,1077,0,0,1077,1,0,1,0,2,2,5,2,1,205,0,4,0,0,0,0,0,1,2008,2068,118000
20,11200,5,5,1965,1965,906,0,134,1040,1040,0,0,1040,1,0,1,0,3,1,5,0,1,384,0,0,0,0,0,0,0,2,2008,2080,129500
60,11924,9,5,2005,2006,998,0,177,1175,1182,1142,0,2324,1,0,3,0,4,1,11,2,3,736,147,21,0,0,0,0,0,7,2006,3499,345000
20,12968,5,6,1962,1962,737,0,175,912,912,0,0,912,1,0,1,0,2,1,4,0,1,352,140,0,0,0,176,0,0,9,2008,1824,144000
20,10652,7,5,2006,2007,0,0,1494,1494,1494,0,0,1494,0,0,2,0,3,1,7,1,3,840,160,33,0,0,0,0,0,8,2007,2988,279500
20,10920,6,5,1960,1960,733,0,520,1253,1253,0,0,1253,1,0,1,1,2,1,5,1,1,352,0,213,176,0,0,0,0,5,2008,2506,157000
45,6120,7,8,1929,2001,0,0,832,832,854,0,0,854,0,0,1,0,2,1,5,0,2,576,48,112,0,0,0,0,0,7,2007,1686,132000
20,11241,6,7,1970,1970,578,0,426,1004,1004,0,0,1004,1,0,1,0,2,1,5,1,2,480,0,0,0,0,0,0,700,3,2010,2008,149000
90,10791,4,5,1967,1967,0,0,0,0,1296,0,0,1296,0,0,2,0,2,2,6,0,2,516,0,0,0,0,0,0,500,10,2006,1296,90000
20,13695,5,5,2004,2004,646,0,468,1114,1114,0,0,1114,1,0,1,1,3,1,6,0,2,576,0,102,0,0,0,0,0,6,2008,2228,159000
20,7560,5,6,1958,1965,504,0,525,1029,1339,0,0,1339,0,0,1,0,3,1,6,0,1,294,0,0,0,0,0,0,0,5,2009,2368,139000
60,14215,8,5,2005,2006,0,0,1158,1158,1158,1218,0,2376,0,0,3,1,4,1,9,1,3,853,240,154,0,0,0,0,0,11,2006,3534,325300
45,7449,7,7,1930,1950,0,0,637,637,1108,0,0,1108,0,0,1,0,3,1,6,1,1,280,0,0,205,0,0,0,0,6,2007,1745,139400
20,9742,8,5,2002,2002,0,0,1777,1777,1795,0,0,1795,0,0,2,0,3,1,7,1,2,534,171,159,0,0,0,0,0,9,2008,3572,230000
120,4224,5,7,1976,1976,840,0,200,1040,1060,0,0,1060,1,0,1,0,3,1,6,1,2,572,100,110,0,0,0,0,0,6,2007,2100,129900
20,8246,5,8,1968,2001,188,668,204,1060,1060,0,0,1060,1,0,1,0,3,1,6,1,1,270,406,90,0,0,0,0,0,5,2010,2120,154000
20,14230,8,5,2007,2007,0,0,1566,1566,1600,0,0,1600,0,0,2,0,3,1,7,1,3,890,0,56,0,0,0,0,0,7,2009,3166,256300
20,7200,5,7,1951,2000,234,486,180,900,900,0,0,900,0,1,1,0,3,1,5,0,2,576,222,32,0,0,0,0,0,5,2010,1800,134800
20,11478,8,5,2007,2008,1218,0,486,1704,1704,0,0,1704,1,0,2,0,3,1,7,1,3,772,0,50,0,0,0,0,0,5,2010,3408,306000
20,16321,5,6,1957,1997,1277,0,207,1484,1600,0,0,1600,1,0,1,0,2,1,6,2,1,319,288,258,0,0,0,0,0,12,2006,3084,207500
30,6324,4,6,1927,1950,0,0,520,520,520,0,0,520,0,0,1,0,1,1,4,0,1,240,49,0,87,0,0,0,0,5,2008,1040,68500
70,8500,4,4,1920,1950,0,0,649,649,649,668,0,1317,0,0,1,0,3,1,6,0,1,250,0,54,172,0,0,0,0,7,2008,1966,40000
20,8544,5,6,1966,2006,0,0,1228,1228,1228,0,0,1228,0,0,1,1,3,1,6,0,1,271,0,65,0,0,0,0,0,6,2008,2456,149350
20,11049,8,5,2007,2007,0,0,1234,1234,1234,0,0,1234,0,0,2,0,3,1,7,0,2,484,0,30,0,0,0,0,0,1,2008,2468,179900
20,10552,5,5,1959,1959,1018,0,380,1398,1700,0,0,1700,0,1,1,1,4,1,6,1,2,447,0,38,0,0,0,0,0,4,2010,3098,165500
120,7313,9,5,2005,2005,1153,0,408,1561,1561,0,0,1561,1,0,2,0,2,1,6,1,2,556,203,47,0,0,0,0,0,8,2007,3122,277500
60,13418,8,5,2004,2005,0,0,1117,1117,1132,1320,0,2452,0,0,3,1,4,1,9,1,3,691,113,32,0,0,0,0,0,9,2006,3569,309000
20,10859,5,5,1994,1995,0,0,1097,1097,1097,0,0,1097,0,0,1,1,3,1,6,0,2,672,392,64,0,0,0,0,0,6,2009,2194,145000
20,8532,5,6,1954,1990,1213,0,84,1297,1297,0,0,1297,0,1,1,0,3,1,5,1,2,498,0,0,0,0,0,0,0,10,2009,2594,153000
20,7922,5,7,1953,2007,731,0,326,1057,1057,0,0,1057,1,0,1,0,3,1,5,0,1,246,0,52,0,0,0,0,0,1,2010,2114,109000
90,6040,4,5,1955,1955,0,0,0,0,1152,0,0,1152,0,0,2,0,2,2,6,0,0,0,0,0,0,0,0,0,0,6,2008,1152,82000
20,8658,6,5,1965,1965,643,0,445,1088,1324,0,0,1324,0,0,2,0,3,1,6,1,2,440,0,138,0,0,0,0,0,12,2006,2412,160000
20,16905,5,6,1959,1959,967,0,383,1350,1328,0,0,1328,0,1,1,1,2,1,5,2,1,308,0,104,0,0,0,0,0,7,2007,2678,170000
85,9180,5,7,1983,1983,747,93,0,840,884,0,0,884,1,0,1,0,2,1,5,0,2,504,240,0,0,0,0,0,0,12,2007,1724,144000
20,9200,5,6,1975,1980,280,491,167,938,938,0,0,938,1,0,1,0,3,1,5,0,1,308,145,0,0,0,0,0,0,7,2008,1876,130250
20,7945,5,6,1959,1959,179,506,465,1150,1150,0,0,1150,1,0,1,0,3,1,6,0,1,300,0,0,0,0,0,0,0,5,2006,2300,141000
120,7658,9,5,2005,2005,456,0,1296,1752,1752,0,0,1752,1,0,2,0,2,1,6,1,2,576,196,82,0,0,0,0,0,2,2010,3504,319900
50,12822,7,5,2003,2003,1351,0,83,1434,1518,631,0,2149,1,0,1,1,1,1,6,1,2,670,168,43,0,0,198,0,0,8,2009,3583,239686
20,11096,8,5,2006,2006,24,0,1632,1656,1656,0,0,1656,0,0,2,0,3,1,7,0,3,826,0,146,0,0,0,0,0,7,2007,3312,249700
190,4456,4,5,1920,2008,0,0,736,736,736,716,0,1452,0,0,2,0,2,3,8,0,0,0,0,0,102,0,0,0,0,6,2009,2188,113000
20,7742,5,7,1966,1966,763,0,192,955,955,0,0,955,1,0,1,0,3,1,6,0,1,386,0,0,0,0,0,0,0,1,2007,1910,127000
60,13869,6,6,1997,1997,182,0,612,794,794,676,0,1470,0,1,2,0,3,1,6,0,2,388,0,75,0,0,0,0,0,7,2007,2264,177000
50,6240,6,6,1934,1950,0,0,816,816,816,0,360,1176,0,0,1,0,3,1,6,1,2,528,112,0,0,0,0,0,400,9,2006,1632,114500
90,8472,5,5,1963,1963,104,712,0,816,816,0,0,816,1,0,1,0,2,1,5,0,2,516,106,0,0,0,0,0,0,5,2010,1632,110000
20,50271,9,5,1981,1987,1810,0,32,1842,1842,0,0,1842,2,0,0,1,0,1,5,1,3,894,857,72,0,0,0,0,0,11,2006,3684,385000
80,7134,5,5,1955,1955,384,0,0,384,1360,0,0,1360,0,0,1,0,3,1,6,1,2,572,0,50,0,0,0,0,0,2,2007,1744,130000
20,10175,6,5,1964,1964,490,0,935,1425,1425,0,0,1425,0,0,2,0,3,1,7,1,2,576,0,0,0,407,0,0,0,7,2008,2850,180500
160,2645,8,5,1999,2000,649,0,321,970,983,756,0,1739,1,0,2,1,3,1,7,0,2,480,115,0,0,0,0,0,0,8,2009,2709,172500
60,11645,7,5,2004,2004,0,0,860,860,860,860,0,1720,0,0,2,1,3,1,7,0,2,565,0,70,0,0,0,0,0,8,2006,2580,196500
60,13682,10,5,2006,2006,0,0,1410,1410,1426,1519,0,2945,0,0,3,1,3,1,10,1,3,641,192,0,37,0,0,0,0,10,2006,4355,438780
20,7200,5,7,1972,1972,632,0,148,780,780,0,0,780,0,0,1,0,2,1,4,0,1,352,196,0,0,0,0,0,0,1,2008,1560,124900
20,13072,6,5,2004,2004,941,0,217,1158,1158,0,0,1158,1,0,1,1,3,1,5,0,2,576,0,50,0,0,0,0,0,5,2006,2316,158000
75,7200,5,7,1920,1996,0,0,530,530,581,530,0,1111,0,0,1,0,3,1,6,0,1,288,0,0,144,0,0,0,0,3,2007,1641,101000
120,6442,8,5,2006,2006,24,0,1346,1370,1370,0,0,1370,0,0,2,0,2,1,6,1,2,484,120,49,0,0,0,0,0,10,2007,2740,202500
70,10300,7,6,1921,1950,0,0,576,576,902,808,0,1710,0,0,2,0,3,1,9,0,2,480,12,11,64,0,0,0,0,4,2010,2286,140000
60,9375,7,5,1997,1998,739,0,318,1057,1057,977,0,2034,1,0,2,1,3,1,8,0,2,645,576,36,0,0,0,0,0,2,2009,3091,219500
60,9591,8,5,2004,2005,0,0,1143,1143,1143,1330,0,2473,0,0,2,1,4,1,9,1,3,852,192,151,0,0,0,0,0,10,2007,3616,317000
20,19900,7,5,1970,1989,912,0,1035,1947,2207,0,0,2207,1,0,2,0,3,1,7,1,2,576,301,0,0,0,0,0,0,7,2010,4154,180000
20,10665,7,5,2003,2003,1013,0,440,1453,1479,0,0,1479,1,0,2,0,3,1,7,0,2,558,144,29,0,0,0,0,0,6,2007,2932,226000
30,4608,4,6,1945,1950,0,0,747,747,747,0,0,747,0,0,1,0,2,1,4,0,1,220,0,0,0,0,0,0,0,6,2010,1494,80000
50,15593,7,4,1953,1953,603,0,701,1304,1304,983,0,2287,0,0,2,0,3,1,7,1,2,667,0,21,114,0,0,0,0,7,2006,3591,225000
20,13651,7,6,1973,1973,1880,0,343,2223,2223,0,0,2223,1,0,2,0,3,1,8,2,2,516,300,0,0,0,0,0,0,2,2007,4446,244000
20,7599,4,6,1982,2006,565,0,280,845,845,0,0,845,1,0,1,0,2,1,4,0,2,360,0,0,0,0,0,0,0,6,2007,1690,129500
60,10141,7,5,1998,1998,0,0,832,832,885,833,0,1718,0,0,2,1,3,1,7,1,2,427,0,94,0,0,291,0,0,12,2009,2550,185000
20,10200,5,7,1954,2003,320,362,404,1086,1086,0,0,1086,1,0,1,0,3,1,6,0,2,490,0,0,0,0,0,0,0,5,2010,2172,144900
50,5790,3,6,1915,1950,0,0,840,840,840,765,0,1605,0,0,2,0,3,2,8,0,1,379,0,0,202,0,0,0,0,5,2010,2445,107400
180,1596,4,5,1973,1973,462,0,0,462,526,462,0,988,1,0,1,0,2,1,5,0,1,297,120,101,0,0,0,0,0,11,2009,1450,91000
20,8475,4,7,1956,1956,228,0,724,952,952,0,0,952,0,0,1,0,2,1,4,0,1,283,0,0,0,0,0,0,0,4,2008,1904,135750
50,8635,5,5,1948,2001,336,41,295,672,1072,213,0,1285,1,0,1,0,2,1,6,0,1,240,0,0,0,0,0,0,0,1,2008,1957,127000
90,10778,4,5,1968,1968,0,0,1768,1768,1768,0,0,1768,0,0,2,0,4,2,8,0,0,0,0,0,0,0,0,0,0,4,2010,3536,136500
50,10440,5,6,1910,1981,0,0,440,440,682,548,0,1230,0,0,1,1,2,1,5,0,2,440,74,0,128,0,0,0,0,5,2009,1670,110000
60,13000,6,6,1968,1968,448,0,448,896,1182,960,0,2142,0,0,2,1,4,1,8,1,1,509,0,72,0,0,252,0,0,6,2009,3038,193500
120,4500,6,5,1998,1998,1201,0,36,1237,1337,0,0,1337,1,0,2,0,2,1,5,0,2,405,0,199,0,0,0,0,0,3,2006,2574,153500
20,10206,8,5,2007,2007,33,0,1530,1563,1563,0,0,1563,0,0,2,0,3,1,6,1,3,758,144,99,0,0,0,0,0,10,2008,3126,245000
20,8892,5,5,1960,1960,0,0,1065,1065,1065,0,0,1065,0,0,1,1,3,1,6,0,2,461,74,0,0,0,0,0,0,7,2007,2130,126500
80,8530,7,5,1995,1996,0,0,384,384,804,670,0,1474,0,0,2,1,3,1,7,1,2,400,120,72,0,0,0,0,700,5,2009,1858,168500
60,16059,8,5,1991,1992,0,0,1288,1288,1301,1116,0,2417,0,0,2,1,4,1,9,1,2,462,127,82,0,0,0,0,0,4,2006,3705,260000
60,11911,6,5,2005,2005,0,0,684,684,684,876,0,1560,0,0,2,1,3,1,6,1,2,400,100,38,0,0,0,0,0,3,2009,2244,174000
160,3951,6,5,2009,2009,0,0,612,612,612,612,0,1224,0,0,2,1,2,1,4,0,2,528,0,234,0,0,0,0,0,6,2009,1836,164500
50,8470,3,2,1915,1982,0,0,1013,1013,1013,0,513,1526,0,0,1,0,2,1,6,0,0,0,0,0,156,0,0,0,0,10,2009,2026,85000
20,8070,4,5,1994,1995,588,0,402,990,990,0,0,990,1,0,1,0,3,1,5,0,0,0,0,0,0,0,0,0,0,8,2007,1980,123600
20,7200,4,5,1950,1950,0,0,0,0,1040,0,0,1040,0,0,1,0,2,1,4,0,2,420,0,29,0,0,0,0,0,7,2006,1040,109900
20,8500,5,3,1961,1961,600,0,635,1235,1235,0,0,1235,0,0,1,0,2,1,6,0,2,480,0,0,0,0,0,0,0,12,2006,2470,98600
30,13360,5,7,1921,2006,713,0,163,876,964,0,0,964,1,0,1,0,2,1,5,0,2,432,0,0,44,0,0,0,0,8,2009,1840,163500
190,7200,6,6,1910,1998,1046,0,168,1214,1260,1031,0,2291,0,1,2,0,4,2,9,1,2,506,0,0,0,0,99,0,0,11,2007,3505,133900
60,9337,6,5,1997,1997,648,0,176,824,905,881,0,1786,1,0,2,1,3,1,7,0,2,684,0,162,0,0,0,0,0,5,2007,2610,204750
60,9765,6,8,1993,1993,310,0,370,680,680,790,0,1470,0,0,2,1,3,1,6,1,2,420,232,63,0,0,0,0,480,4,2009,2150,185000
20,10264,7,5,1999,1999,1162,0,426,1588,1588,0,0,1588,0,0,2,0,3,1,6,0,2,472,158,29,0,0,0,0,0,8,2006,3176,214000
20,10921,4,5,1965,1965,520,0,440,960,960,0,0,960,1,0,1,0,3,1,6,0,1,432,120,0,0,0,0,0,0,5,2007,1920,94750
30,10625,5,5,1920,1950,108,0,350,458,835,0,0,835,0,0,1,0,2,1,5,0,1,366,0,0,77,0,0,0,400,5,2010,1293,83000
20,9320,4,5,1959,1959,569,0,381,950,1225,0,0,1225,1,0,1,1,3,1,6,0,0,0,352,0,0,0,0,0,400,1,2010,2175,128950
20,10603,6,7,1977,2001,1200,0,410,1610,1610,0,0,1610,1,0,2,0,3,1,6,2,2,480,168,68,0,0,0,0,0,2,2010,3220,205000
60,9206,6,5,1985,1985,0,0,741,741,977,755,0,1732,0,0,2,1,3,1,7,1,2,476,192,46,0,0,0,0,0,6,2010,2473,178000
90,7018,5,5,1979,1979,0,0,0,0,1535,0,0,1535,0,0,2,0,4,2,8,0,2,410,0,0,0,0,0,0,0,6,2009,1535,118964
20,10402,7,5,2009,2009,0,0,1226,1226,1226,0,0,1226,0,0,2,0,3,1,6,0,3,740,0,36,0,0,0,0,0,5,2010,2452,198900
50,7758,7,4,1931,1950,224,0,816,1040,1226,592,0,1818,0,0,1,1,4,1,7,2,1,240,0,0,0,0,184,0,0,6,2007,2858,169500
60,9375,8,5,2003,2004,0,0,1053,1053,1053,939,0,1992,0,0,2,1,3,1,9,1,2,648,140,45,0,0,0,0,0,8,2008,3045,250000
30,10800,4,7,1885,1995,0,0,641,641,1047,0,0,1047,0,0,1,0,2,1,6,0,1,273,0,0,0,0,0,0,450,8,2007,1688,100000
20,6000,5,5,1948,1950,104,169,516,789,789,0,0,789,0,0,1,0,2,1,5,0,1,250,0,0,0,0,0,0,0,4,2008,1578,115000
50,8500,5,7,1919,2005,0,0,793,793,997,520,0,1517,0,0,2,0,3,1,7,0,0,0,0,0,144,0,0,0,0,8,2007,2310,115000
20,11751,6,6,1977,1977,705,0,1139,1844,1844,0,0,1844,0,0,2,0,3,1,7,1,2,546,0,122,0,0,0,0,0,1,2010,3688,190000
50,9525,6,4,1954,1972,444,0,550,994,1216,639,0,1855,0,0,2,0,4,1,7,0,1,325,182,0,0,0,0,0,0,10,2006,2849,136900
80,7750,7,5,2000,2000,250,0,134,384,774,656,0,1430,0,0,2,1,3,1,7,1,2,400,180,0,0,0,0,0,0,4,2010,1814,180000
60,9965,7,5,2007,2007,984,0,280,1264,1282,1414,0,2696,1,0,2,1,4,1,10,1,3,792,120,184,0,0,168,0,0,10,2007,3960,383970
20,21000,6,5,1953,1953,35,869,905,1809,2259,0,0,2259,1,0,2,0,3,1,7,2,2,450,166,120,192,0,0,0,0,10,2007,4068,217000
70,7259,6,8,1945,2002,774,150,104,1028,1436,884,0,2320,1,0,2,1,3,1,9,1,1,180,224,0,0,0,0,0,0,7,2007,3348,259500
160,3230,6,5,1999,1999,419,0,310,729,729,729,0,1458,0,0,2,1,2,1,5,1,2,440,0,32,0,0,0,0,0,6,2007,2187,176000
20,11616,5,5,1962,1962,170,670,252,1092,1092,0,0,1092,0,1,1,0,3,1,6,1,1,288,0,20,144,0,0,0,0,9,2009,2184,139000
20,8536,5,5,2006,2007,0,0,1125,1125,1125,0,0,1125,0,0,1,1,2,1,5,0,2,430,80,64,0,0,0,0,0,4,2007,2250,155000
60,12376,7,5,1990,1990,1470,0,203,1673,1699,1523,0,3222,1,0,3,0,5,1,11,2,3,594,367,0,0,0,0,0,0,5,2010,4895,320000
60,8461,6,5,2005,2006,0,0,728,728,728,728,0,1456,0,0,2,1,3,1,8,1,2,390,0,24,0,0,0,0,0,7,2006,2184,163990
80,21453,6,5,1969,1969,938,0,0,938,988,0,0,988,1,0,1,0,1,1,4,2,2,540,0,130,0,130,0,0,0,10,2006,1926,180000
50,6060,4,5,1939,1950,0,0,732,732,772,351,0,1123,0,0,1,0,3,1,4,0,1,264,0,0,140,0,0,0,0,6,2007,1855,100000
20,9464,6,7,1958,1958,570,0,510,1080,1080,0,0,1080,0,0,1,0,3,1,5,0,1,288,0,0,0,0,130,0,0,6,2008,2160,136000
120,7892,6,5,1993,1993,300,0,899,1199,1199,0,0,1199,0,0,2,0,2,1,5,0,2,530,0,63,0,0,0,0,0,3,2008,2398,153900
20,17043,6,5,1979,1998,0,0,1362,1362,1586,0,0,1586,0,0,2,0,3,1,7,1,2,435,192,0,0,0,0,0,0,1,2009,2948,181000
190,6780,6,8,1935,1982,490,0,30,520,520,0,234,754,1,0,1,0,2,1,5,0,0,0,53,0,0,0,0,0,0,6,2006,1040,84500
120,4928,6,5,1976,1976,120,0,958,1078,958,0,0,958,0,0,2,0,2,1,5,1,2,440,0,205,0,0,0,0,0,2,2007,2036,128000
45,4388,5,7,1930,1950,116,0,556,672,840,0,0,840,0,0,1,0,3,1,5,1,0,0,0,0,0,0,0,0,0,6,2007,1512,87000
60,7590,6,5,1966,1966,512,0,148,660,660,688,0,1348,0,0,1,1,3,1,6,1,2,453,188,108,0,0,0,0,0,7,2006,2008,155000
20,8973,5,7,1958,1991,567,28,413,1008,1053,0,0,1053,0,1,1,1,3,1,6,0,2,750,0,80,0,180,0,0,0,7,2006,2061,150000
60,14200,7,6,1966,1966,445,0,479,924,1216,941,0,2157,0,0,2,1,4,1,8,2,2,487,105,66,0,0,0,0,0,5,2006,3081,226000
60,12224,6,5,2000,2000,695,0,297,992,1022,1032,0,2054,1,0,2,1,3,1,7,1,2,390,24,48,0,0,0,0,0,7,2009,3046,244000
20,7388,5,6,1959,2002,405,0,658,1063,1327,0,0,1327,1,0,1,0,3,1,7,0,2,624,0,0,0,0,0,0,0,7,2007,2390,150750
20,6853,8,5,2001,2002,1005,0,262,1267,1296,0,0,1296,1,0,2,0,2,1,6,0,2,471,192,25,0,0,0,0,0,6,2009,2563,220000
20,10335,5,6,1968,1993,570,0,891,1461,1721,0,0,1721,0,0,2,1,3,1,7,1,2,440,0,96,180,0,0,0,0,7,2006,3182,180000
20,10400,7,6,1970,1970,0,0,1304,1304,1682,0,0,1682,0,0,2,0,3,1,7,1,2,530,98,0,0,0,0,0,0,5,2008,2986,174000
20,10355,5,5,1967,1967,695,0,519,1214,1214,0,0,1214,0,0,2,0,3,1,5,1,1,318,0,111,0,0,0,0,0,7,2007,2428,143000
90,11070,7,5,1988,1989,0,0,1907,1907,1959,0,0,1959,0,0,3,0,5,2,9,0,3,766,0,0,0,0,0,0,0,7,2006,3866,171000
60,9066,8,5,1999,2000,668,0,336,1004,1004,848,0,1852,0,0,2,1,3,1,7,2,3,660,224,106,0,0,0,0,0,12,2008,2856,230000
60,15426,6,5,1997,1997,821,0,107,928,928,836,0,1764,1,0,2,1,3,1,7,0,2,470,276,99,0,0,0,0,0,8,2009,2692,231500
20,10500,4,5,1971,1971,432,0,432,864,864,0,0,864,0,0,1,0,3,1,5,1,0,0,0,0,0,0,0,0,0,4,2010,1728,115000
20,11645,7,5,2005,2005,1300,0,434,1734,1734,0,0,1734,1,0,2,0,3,1,7,0,2,660,160,24,0,0,0,0,0,1,2006,3468,260000
50,8520,5,4,1952,1952,507,0,403,910,910,475,0,1385,0,0,2,0,4,1,6,0,2,720,0,0,0,0,0,0,0,6,2010,2295,166000
20,10335,7,5,1999,1999,679,0,811,1490,1501,0,0,1501,1,0,2,0,3,1,6,0,2,577,144,29,0,0,0,0,0,6,2009,2991,204000
90,9100,5,5,1963,1963,1332,0,396,1728,1728,0,0,1728,1,0,2,0,6,2,10,0,2,504,0,0,0,0,0,0,0,11,2006,3456,125000
160,2522,6,5,2004,2006,0,0,970,970,970,739,0,1709,0,0,2,0,3,1,7,0,2,380,0,40,0,0,0,0,0,4,2006,2679,130000
30,6120,5,7,1931,1993,209,0,506,715,875,0,0,875,1,0,1,0,2,1,5,0,1,180,48,0,0,0,0,0,0,11,2009,1590,105000
60,9505,7,5,2001,2001,0,0,884,884,884,1151,0,2035,0,0,2,1,3,1,8,1,2,434,144,48,0,0,0,0,0,5,2010,2919,222500
20,7500,7,5,2004,2005,680,0,400,1080,1080,0,0,1080,1,0,1,0,3,1,6,0,0,0,0,0,0,0,0,0,0,4,2008,2160,141000
50,6240,5,4,1936,1950,0,0,896,896,896,448,0,1344,0,0,1,0,3,1,7,0,1,240,200,114,0,0,0,0,0,4,2006,2240,115000
20,10356,5,6,1975,1975,716,0,253,969,969,0,0,969,0,0,1,1,3,1,5,0,2,440,0,0,0,0,0,0,0,1,2007,1938,122000
20,13891,8,5,2007,2008,1400,0,310,1710,1710,0,0,1710,1,0,2,0,2,1,6,1,3,866,0,102,0,0,0,0,0,1,2008,3420,372402
60,14803,6,5,1971,1971,416,0,409,825,1097,896,0,1993,0,0,2,1,4,1,8,1,2,495,0,66,0,0,0,0,0,6,2006,2818,190000
20,13500,6,7,1960,1975,429,1080,93,1602,1252,0,0,1252,1,0,1,0,1,1,4,1,2,564,409,0,0,0,0,0,0,3,2008,2854,235000
30,11340,6,5,1923,1950,0,0,1200,1200,1200,0,0,1200,0,0,1,0,4,1,7,0,1,312,0,0,228,0,0,0,0,3,2006,2400,125000
50,9600,6,5,1924,1950,0,0,572,572,572,524,0,1096,0,0,1,0,2,1,5,0,0,0,0,8,128,0,0,0,0,4,2008,1668,79000
20,7200,5,7,1950,1950,0,0,0,0,1040,0,0,1040,0,0,1,0,2,1,5,0,2,625,0,0,0,0,0,0,0,6,2006,1040,109500
60,12003,8,5,2009,2010,0,0,774,774,774,1194,0,1968,0,0,2,1,4,1,8,1,3,680,0,75,0,0,0,0,0,5,2010,2742,269500
60,12552,7,5,2004,2005,222,0,769,991,991,956,0,1947,0,0,2,1,3,1,8,1,2,678,0,136,0,0,0,0,0,5,2010,2938,254900
60,19378,7,5,2005,2006,57,0,1335,1392,1392,1070,0,2462,1,0,2,1,4,1,9,1,2,576,239,132,0,168,0,0,0,3,2006,3854,320000
20,11120,6,6,1984,1984,660,0,572,1232,1232,0,0,1232,0,0,2,0,3,1,6,0,2,516,0,0,0,0,0,0,0,6,2008,2464,162500
60,13688,9,5,2003,2004,1016,0,556,1572,1572,1096,0,2668,1,0,2,1,3,1,10,2,3,726,400,0,0,0,0,0,0,3,2008,4240,412500
20,12182,7,5,2005,2005,1201,0,340,1541,1541,0,0,1541,0,0,2,0,3,1,7,1,2,532,0,70,0,0,0,0,0,5,2010,3082,220000
45,5500,4,6,1956,1956,0,0,882,882,882,0,0,882,0,0,1,0,1,1,4,0,0,0,0,0,0,0,0,0,0,4,2007,1764,103200
40,5400,6,7,1926,2004,370,0,779,1149,1149,467,0,1616,0,0,2,0,3,1,5,0,1,216,0,0,183,0,0,0,0,10,2007,2765,152000
190,10106,5,7,1940,1999,351,181,112,644,808,547,0,1355,1,0,2,0,4,2,6,0,0,0,140,0,0,0,0,0,0,9,2008,1999,127500
20,10708,5,5,1955,1993,379,768,470,1617,1867,0,0,1867,1,0,1,0,2,1,7,3,1,303,476,0,0,0,142,0,0,11,2009,3484,190000
60,10562,8,5,2007,2007,1288,0,294,1582,1610,551,0,2161,1,0,1,1,3,1,8,1,3,789,178,120,0,0,0,0,0,11,2007,3743,325624
60,8244,7,5,2004,2004,0,0,840,840,840,880,0,1720,0,0,2,1,3,1,7,1,2,440,100,48,0,0,0,0,0,5,2007,2560,183500
20,16669,8,6,1981,1981,0,0,1686,1686,1707,0,0,1707,0,0,2,1,2,1,6,1,2,511,574,64,0,0,0,0,0,1,2006,3393,228000
50,12358,5,6,1941,1950,360,0,360,720,854,0,528,1382,0,0,1,1,2,1,7,0,2,660,237,0,0,0,0,0,0,5,2007,1574,128500
