iter	Passed	Remaining
0	32	32049
1	47	23566
2	62	20714
3	77	19303
4	92	18415
5	107	17821
6	122	17345
7	137	17073
8	152	16769
9	167	16576
10	182	16379
11	197	16236
12	211	16092
13	227	16003
14	242	15949
15	257	15865
16	272	15776
17	287	15700
18	302	15620
19	317	15544
20	332	15496
21	347	15434
22	362	15385
23	376	15301
24	391	15259
25	405	15209
26	421	15171
27	436	15151
28	451	15111
29	465	15052
30	479	14997
31	495	14974
32	509	14936
33	524	14901
34	539	14882
35	554	14845
36	569	14811
37	583	14765
38	597	14726
39	612	14689
40	626	14651
41	641	14636
42	656	14611
43	671	14589
44	686	14559
45	700	14532
46	714	14497
47	729	14474
48	744	14443
49	759	14424
50	773	14400
51	788	14374
52	802	14345
53	817	14321
54	833	14317
55	848	14295
56	862	14272
57	877	14254
58	892	14235
59	907	14214
60	922	14198
61	937	14179
62	951	14154
63	966	14134
64	981	14111
65	995	14090
66	1010	14065
67	1024	14046
68	1040	14032
69	1055	14017
70	1070	14002
71	1084	13984
72	1099	13966
73	1114	13941
74	1128	13923
75	1143	13903
76	1158	13883
77	1172	13863
78	1187	13838
79	1201	13813
80	1215	13796
81	1230	13776
82	1246	13770
83	1260	13750
84	1275	13734
85	1290	13715
86	1305	13697
87	1319	13679
88	1334	13661
89	1349	13643
90	1364	13626
91	1378	13607
92	1393	13586
93	1407	13566
94	1421	13545
95	1436	13529
96	1451	13510
97	1466	13495
98	1481	13479
99	1495	13460
100	1510	13442
101	1524	13422
102	1539	13407
103	1554	13389
104	1568	13370
105	1583	13351
106	1597	13334
107	1612	13320
108	1626	13298
109	1643	13293
110	1657	13272
111	1671	13255
112	1686	13239
113	1701	13221
114	1715	13202
115	1730	13184
116	1744	13167
117	1759	13149
118	1773	13130
119	1787	13111
120	1802	13091
121	1817	13079
122	1831	13062
123	1847	13048
124	1862	13035
125	1876	13017
126	1891	13000
127	1905	12983
128	1920	12965
129	1934	12946
130	1948	12927
131	1963	12910
132	1978	12895
133	1992	12879
134	2007	12860
135	2021	12843
136	2036	12828
137	2051	12814
138	2066	12798
139	2080	12781
140	2095	12765
141	2110	12753
142	2125	12737
143	2140	12722
144	2154	12704
