carat,cut,color,clarity,depth,table,price,x,y,z
0.71,Ideal,G,SI1,61.4,56.0,3007,5.72,5.77,3.53
1.02,Ideal,H,SI1,59.8,58.0,5505,6.56,6.58,3.93
0.32,Ideal,I,VS1,62.3,57.0,505,4.37,4.42,2.74
1.01,Premium,F,VS2,59.2,61.0,6900,6.59,6.55,3.89
1.3,Fair,J,SI1,66.0,57.1,5488,6.73,6.82,4.45
2.01,Premium,I,VS1,61.5,62.0,15475,8.07,7.94,4.92
1.19,Very Good,H,SI1,60.8,59.0,5595,6.84,6.87,4.17
1.53,Ideal,F,SI1,61.6,56.0,11999,7.34,7.39,4.54
1.01,Ideal,G,VS1,62.4,58.0,6951,6.43,6.39,4.0
0.33,Premium,I,VS1,62.7,58.0,668,4.43,4.4,2.77
1.15,Ideal,G,VS1,61.9,56.0,7999,6.71,6.73,4.16
1.11,Ideal,H,VS2,64.0,58.0,5632,6.52,6.46,4.16
2.0,Good,J,I1,63.6,62.0,6521,7.97,7.8,5.02
0.31,Ideal,I,VVS1,62.2,53.0,557,4.36,4.38,2.72
0.46,Very Good,F,SI2,62.6,58.0,815,4.88,4.96,3.08
1.01,Ideal,I,SI1,62.5,56.0,5020,6.4,6.36,3.99
0.73,Ideal,I,VVS2,62.3,55.0,2519,5.77,5.76,3.59
0.38,Ideal,F,VVS2,61.7,55.4,1010,4.66,4.68,2.88
0.71,Ideal,F,SI2,62.1,54.0,2365,5.73,5.76,3.57
0.74,Very Good,F,VS1,61.7,57.0,3226,5.79,5.85,3.59
0.4,Ideal,F,VVS1,61.8,58.0,1168,4.72,4.76,2.93
0.71,Good,F,VVS2,58.9,61.0,2960,5.8,5.9,3.44
1.06,Ideal,G,VS1,62.3,55.0,8451,6.5,6.53,4.06
1.33,Ideal,G,VVS2,61.7,58.0,12345,7.04,7.07,4.35
1.02,Very Good,H,SI1,60.3,59.0,4476,6.44,6.5,3.9
1.0,Very Good,G,VS2,61.2,56.0,5939,6.47,6.38,3.93
0.31,Ideal,G,IF,62.8,56.0,786,4.34,4.39,2.74
1.24,Ideal,J,VS2,62.8,56.0,5451,6.83,6.8,4.28
0.71,Ideal,H,SI2,62.1,57.0,2122,5.68,5.76,3.55
1.02,Ideal,H,SI2,58.8,57.0,3142,6.61,6.55,3.87
0.34,Very Good,D,SI2,60.7,61.0,507,4.45,4.51,2.72
0.61,Premium,F,VVS2,59.7,58.0,2392,5.56,5.53,3.31
0.5,Ideal,G,VVS2,62.8,57.0,1935,5.04,4.99,3.15
1.08,Ideal,F,VS2,61.9,55.0,7629,6.58,6.61,4.09
0.91,Very Good,F,SI1,62.3,58.0,4785,6.14,6.19,3.84
0.51,Ideal,G,VS1,59.7,57.0,1781,5.25,5.2,3.12
0.41,Ideal,H,VVS1,62.2,57.0,1043,4.74,4.78,2.96
0.52,Premium,D,SI1,61.4,58.0,1720,5.19,5.16,3.18
1.23,Premium,J,VS2,62.7,58.0,4856,6.81,6.77,4.26
2.03,Premium,I,VS2,58.5,60.0,16309,8.37,8.34,4.89
1.01,Premium,F,SI1,62.2,59.0,5345,6.41,6.36,3.97
0.41,Ideal,D,SI2,61.0,56.0,683,4.78,4.83,2.93
0.43,Very Good,E,SI1,63.2,57.0,948,4.84,4.78,3.04
1.12,Very Good,H,SI2,62.5,58.0,4373,6.58,6.63,4.13
1.43,Premium,G,VS2,62.2,58.0,10609,7.18,7.15,4.46
1.5,Fair,G,VS2,64.4,56.0,12787,7.16,7.09,4.59
0.78,Very Good,E,VVS1,61.3,60.0,4904,5.86,5.92,3.61
0.57,Ideal,E,VS1,61.4,57.0,1965,5.32,5.37,3.28
0.8,Fair,G,SI2,61.2,58.0,2246,5.96,5.93,3.64
1.04,Premium,F,VVS2,62.5,58.0,8946,6.46,6.37,4.01
1.0,Ideal,I,VS1,60.4,55.0,5385,6.49,6.52,3.93
1.27,Ideal,G,VS1,59.6,57.0,9262,7.06,7.09,4.22
0.54,Ideal,D,VS2,61.1,57.0,1993,5.25,5.22,3.2
0.39,Ideal,F,SI2,62.2,55.0,587,4.68,4.71,2.92
1.25,Ideal,H,VS1,62.1,57.0,8365,6.89,6.92,4.29
1.2,Very Good,H,SI1,62.8,58.0,5567,6.73,6.8,4.25
0.52,Ideal,D,VVS1,60.9,56.0,3321,5.2,5.24,3.18
0.59,Ideal,G,VS2,61.9,57.0,2336,5.41,5.38,3.34
0.23,Very Good,E,VVS1,62.2,59.0,465,3.92,3.96,2.45
1.2,Very Good,F,SI2,62.8,55.0,6085,6.74,6.8,4.25
0.32,Ideal,I,VVS2,61.5,56.0,561,4.4,4.42,2.71
1.5,Fair,E,SI1,56.2,58.0,11489,7.71,7.6,4.3
0.54,Ideal,D,SI1,60.8,57.0,1786,5.31,5.25,3.21
2.01,Very Good,I,SI2,60.9,60.0,13488,8.0,8.15,4.92
0.45,Premium,F,VS2,61.4,60.0,945,4.93,4.87,3.01
0.51,Ideal,G,IF,62.4,54.0,2096,5.12,5.17,3.21
1.0,Good,F,SI2,63.8,58.0,4081,6.28,6.33,4.02
0.82,Very Good,F,SI1,63.9,56.9,3048,5.85,5.92,3.76
1.39,Premium,H,SI1,62.7,58.0,7986,7.15,7.08,4.46
0.38,Ideal,E,VS1,61.8,54.7,924,4.66,4.68,2.89
0.35,Ideal,I,VS2,62.5,57.0,491,4.5,4.53,2.82
0.25,Very Good,E,VVS2,60.5,59.0,575,4.06,4.1,2.47
0.32,Good,E,VS1,64.3,59.0,638,4.28,4.34,2.77
0.24,Premium,E,VS2,62.6,58.0,536,4.03,3.99,2.51
1.54,Good,I,SI2,63.3,60.0,7304,7.31,7.34,4.64
0.47,Ideal,G,VVS2,62.2,53.0,1618,5.0,5.04,3.12
0.31,Ideal,F,SI1,62.3,56.0,663,4.35,4.32,2.7
0.7,Ideal,D,VVS2,61.1,55.0,5539,5.75,5.78,3.52
0.41,Ideal,E,SI1,62.9,56.0,969,4.76,4.72,2.98
0.38,Premium,D,VS2,58.8,61.0,1117,4.77,4.72,2.79
2.25,Very Good,J,SI2,58.4,63.0,13597,8.6,8.65,5.04
1.06,Ideal,D,VS2,62.5,54.0,6856,6.53,6.6,4.1
0.33,Premium,G,IF,59.4,59.0,1094,4.54,4.49,2.68
1.51,Ideal,G,VVS2,62.3,55.0,14750,7.35,7.29,4.56
2.0,Very Good,H,SI2,61.0,57.0,14340,8.02,8.18,4.94
0.35,Premium,E,VS1,62.3,60.0,1063,4.52,4.5,2.81
0.31,Ideal,D,VS1,60.1,57.0,913,4.39,4.4,2.64
0.72,Ideal,H,VVS1,62.8,57.0,2907,5.68,5.72,3.58
0.7,Premium,E,VS1,62.9,61.0,3175,5.65,5.57,3.53
2.11,Very Good,I,SI2,63.8,54.0,12937,8.13,8.19,5.21
1.52,Very Good,G,VVS2,62.9,59.0,15265,7.25,7.29,4.57
0.31,Ideal,D,VS2,61.3,57.0,734,4.37,4.4,2.69
0.4,Ideal,E,VS2,61.6,57.0,1092,4.73,4.75,2.92
2.09,Premium,H,SI2,61.4,60.0,14581,8.24,8.2,5.05
0.31,Ideal,D,VS2,61.8,57.0,942,4.38,4.36,2.7
0.3,Good,D,SI1,63.3,55.0,552,4.28,4.31,2.72
1.51,Very Good,J,SI1,58.8,59.0,7544,7.47,7.56,4.42
0.4,Ideal,F,SI2,61.8,53.0,688,4.77,4.74,2.94
1.18,Ideal,H,SI2,62.2,56.0,5657,6.74,6.76,4.2
0.9,Very Good,J,VS1,62.6,55.0,3102,6.11,6.13,3.83
0.82,Premium,D,SI2,61.7,56.0,3159,6.01,5.99,3.7
1.23,Premium,G,SI1,61.2,59.0,6888,6.88,6.81,4.19
0.72,Premium,F,VS2,62.7,59.0,2584,5.71,5.75,3.59
0.33,Premium,H,VS1,60.0,61.0,743,4.52,4.48,2.7
0.6,Fair,F,VVS2,60.1,66.0,2484,5.48,5.44,3.28
0.54,Very Good,F,VS1,59.9,57.0,1778,5.35,5.3,3.19
0.57,Ideal,E,SI1,61.9,56.0,1613,5.33,5.3,3.29
0.33,Very Good,F,VS2,63.2,56.0,854,4.41,4.39,2.78
1.6,Ideal,J,VS2,62.1,56.0,9681,7.47,7.51,4.65
0.32,Very Good,E,VS1,61.1,59.8,792,4.43,4.45,2.71
0.3,Ideal,I,VS2,62.4,55.0,407,4.32,4.34,2.7
0.46,Ideal,E,VVS2,62.6,55.0,1736,4.95,4.92,3.09
0.53,Premium,E,SI2,62.2,57.0,984,5.2,5.16,3.22
0.53,Ideal,D,VS2,62.3,56.0,1857,5.14,5.17,3.21
1.22,Premium,H,VS2,62.7,58.0,5930,6.77,6.73,4.23
0.54,Premium,G,VS2,62.0,58.0,1637,5.21,5.18,3.22
0.57,Ideal,H,SI2,62.3,56.0,1077,5.31,5.28,3.3
0.9,Very Good,H,VS1,62.1,57.0,4455,6.17,6.23,3.85
1.01,Premium,G,VS2,62.6,56.0,5713,6.41,6.34,3.99
0.51,Ideal,E,VS1,62.0,57.0,1841,5.11,5.15,3.18
0.4,Ideal,H,VVS2,62.4,57.0,877,4.69,4.73,2.94
0.41,Premium,E,VS1,60.0,58.0,1079,4.8,4.83,2.89
0.7,Very Good,E,SI1,62.7,55.0,2575,5.63,5.67,3.54
1.01,Very Good,H,VS2,62.6,61.0,4821,6.35,6.4,3.99
2.3,Very Good,I,SI2,60.6,60.0,14603,8.51,8.56,5.17
0.31,Very Good,E,SI1,63.3,55.0,698,4.36,4.33,2.75
0.23,Very Good,D,VVS1,60.5,55.0,472,4.01,4.02,2.43
0.33,Very Good,H,IF,60.3,59.0,868,4.47,4.49,2.7
1.21,Ideal,H,VS1,62.7,56.0,6784,6.79,6.84,4.27
0.5,Very Good,E,SI2,63.2,61.0,1097,5.05,5.02,3.18
1.5,Good,G,VS1,63.8,59.0,11524,7.16,7.22,4.59
2.41,Ideal,I,SI2,62.5,57.0,16987,8.57,8.51,5.34
0.32,Ideal,E,SI2,62.7,55.0,576,4.42,4.39,2.76
1.01,Premium,D,VS1,61.1,61.0,7785,6.46,6.4,3.93
1.14,Premium,F,SI1,61.1,59.0,6033,6.75,6.7,4.11
0.91,Very Good,G,SI2,62.0,59.0,3238,6.19,6.22,3.85
0.71,Premium,D,SI1,61.0,61.0,2863,5.82,5.75,3.53
1.03,Ideal,G,VS2,61.1,57.0,7726,6.51,6.54,3.99
1.59,Premium,I,VS2,60.2,60.0,10222,7.61,7.58,4.57
0.39,Good,I,VS1,63.1,58.0,737,4.68,4.61,2.93
1.0,Good,F,SI2,59.4,64.0,3858,6.36,6.29,3.76
0.36,Ideal,G,IF,61.7,56.0,985,4.57,4.6,2.83
0.42,Premium,D,SI2,60.1,58.0,898,4.88,4.83,2.92
1.05,Premium,E,SI2,61.5,59.0,4139,6.52,6.58,4.03
1.01,Premium,F,VS2,62.1,60.0,6097,6.43,6.36,3.97
0.3,Very Good,F,SI1,63.5,59.0,641,4.22,4.19,2.67
0.7,Premium,F,SI1,60.8,58.0,2415,5.78,5.74,3.5
0.33,Ideal,E,VVS1,61.2,55.0,1174,4.48,4.51,2.75
0.33,Ideal,G,IF,61.7,55.0,984,4.45,4.47,2.75
0.54,Very Good,G,SI1,62.2,57.0,1241,5.17,5.22,3.23
0.73,Good,E,VS2,63.2,56.0,2912,5.75,5.76,3.64
0.9,Good,G,SI1,64.1,59.4,3816,6.04,6.08,3.88
1.24,Premium,F,VS1,58.0,58.0,9930,7.16,7.02,4.11
0.3,Ideal,E,VS2,61.5,55.0,844,4.4,4.32,2.68
0.53,Ideal,F,VVS2,62.2,56.0,2158,5.18,5.2,3.23
1.7,Very Good,H,VS2,63.3,57.0,12228,7.59,7.54,4.79
0.3,Ideal,D,VS2,61.4,54.0,911,4.34,4.33,2.66
0.41,Ideal,G,VS2,60.9,57.0,1061,4.84,4.79,2.93
0.4,Very Good,G,SI1,60.0,63.0,702,4.76,4.8,2.87
0.52,Very Good,G,SI2,63.1,56.0,1151,5.12,5.08,3.22
1.5,Premium,I,SI2,62.9,57.0,6132,7.28,7.26,4.57
0.5,Ideal,E,VVS2,62.2,54.0,2889,5.09,5.11,3.17
1.26,Very Good,E,VS2,59.5,57.0,9802,7.03,7.15,4.22
0.41,Very Good,J,VS1,60.8,61.0,647,4.72,4.79,2.89
0.9,Very Good,D,SI1,61.1,63.0,3997,6.21,6.17,3.78
0.9,Good,H,VS2,63.6,58.0,3881,6.11,6.09,3.88
0.42,Premium,G,VS2,60.6,58.0,1087,4.88,4.83,2.94
0.72,Premium,J,VS2,60.2,59.0,1944,5.85,5.81,3.51
0.42,Premium,G,VS2,60.6,58.0,847,4.83,4.88,2.94
1.01,Very Good,D,SI1,61.6,60.0,5443,6.43,6.47,3.97
0.43,Very Good,E,VS2,62.2,58.0,869,4.81,4.87,3.01
0.3,Good,J,SI1,63.8,56.0,450,4.26,4.23,2.71
0.34,Very Good,E,SI2,62.5,59.0,477,4.43,4.46,2.78
0.93,Very Good,G,SI1,61.5,57.0,4111,6.23,6.33,3.86
0.33,Ideal,I,VS2,62.4,56.0,594,4.43,4.39,2.75
0.3,Fair,J,VS2,64.8,58.0,416,4.24,4.16,2.72
1.02,Very Good,H,SI1,62.8,59.0,4348,6.33,6.38,3.99
2.0,Ideal,I,VS1,62.3,56.0,12907,8.08,8.03,5.02
0.57,Ideal,G,VS1,62.3,53.7,1837,5.32,5.35,3.32
1.22,Ideal,J,VS2,61.0,55.0,6052,6.92,6.96,4.23
0.97,Ideal,F,SI2,62.4,55.0,3569,6.38,6.34,3.97
0.75,Premium,E,SI2,63.0,58.0,2372,5.78,5.71,3.62
0.33,Ideal,E,VS2,61.9,56.0,723,4.43,4.46,2.75
0.35,Premium,F,VS1,60.5,58.0,984,4.59,4.57,2.77
1.03,Ideal,E,VVS2,61.7,56.0,11611,6.49,6.51,4.01
0.3,Ideal,H,SI1,62.9,57.0,540,4.29,4.26,2.69
0.31,Good,G,VVS2,63.2,58.0,707,4.26,4.32,2.71
0.71,Very Good,I,VS2,62.3,58.0,2052,5.68,5.72,3.55
0.79,Premium,H,SI2,60.4,61.0,2471,5.99,5.96,3.61
1.21,Very Good,J,VS2,63.0,57.0,4691,6.73,6.77,4.25
1.21,Ideal,G,SI2,62.9,57.0,4631,6.78,6.73,4.25
0.3,Very Good,F,VS1,61.5,56.0,654,4.31,4.34,2.66
1.5,Premium,H,VS2,62.2,58.0,10291,7.27,7.36,4.55
0.54,Ideal,F,VVS2,62.0,55.0,2454,5.24,5.25,3.25
1.64,Ideal,I,VS1,60.5,57.0,11305,7.68,7.62,4.64
0.36,Ideal,E,SI1,62.1,56.0,631,4.56,4.59,2.84
0.7,Very Good,F,VS2,61.7,63.0,2737,5.61,5.64,3.47
0.3,Ideal,H,VS2,62.3,57.0,491,4.25,4.29,2.66
0.76,Ideal,J,SI1,61.9,53.0,1859,5.85,5.92,3.64
0.49,Premium,E,SI1,61.5,58.0,1084,5.08,5.06,3.12
1.01,Premium,F,SI2,61.3,60.0,4416,6.4,6.43,3.93
1.01,Premium,F,VVS2,59.3,60.0,8579,6.52,6.5,3.86
0.72,Ideal,D,SI2,62.3,57.0,2457,5.8,5.75,3.6
0.64,Ideal,E,VS1,60.8,56.0,2679,5.61,5.59,3.41
0.41,Premium,E,SI2,62.1,58.0,683,4.73,4.77,2.95
0.54,Very Good,D,SI1,62.0,55.0,1662,5.21,5.24,3.24
1.01,Very Good,F,VS2,60.0,63.0,6598,6.46,6.48,3.88
2.06,Premium,I,SI2,62.7,60.0,13198,8.11,8.06,5.07
0.92,Ideal,G,SI1,62.6,55.0,4249,6.22,6.24,3.9
0.7,Ideal,H,VS1,62.0,59.0,2648,5.68,5.71,3.53
1.19,Premium,G,VS1,62.6,58.0,8109,6.78,6.71,4.22
0.53,Very Good,H,VS1,63.3,56.0,1561,5.13,5.17,3.26
