artist_id,name,album_id,title,artist_id
1,AC/DC,1,For those who rock,1
1,AC/DC,2,Balls to the wall,2
1,AC/DC,3,Restless and wild,2
1,AC/DC,4,Let there be rock,1
1,AC/DC,5,Rumours,6
2,Aerosmith,1,For those who rock,1
2,Aerosmith,2,Balls to the wall,2
2,Aerosmith,3,Restless and wild,2
2,Aerosmith,4,Let there be rock,1
2,Aerosmith,5,Rumours,6
3,Alanis Morissette,1,For those who rock,1
3,Alanis Morissette,2,Balls to the wall,2
3,Alanis Morissette,3,Restless and wild,2
3,Alanis Morissette,4,Let there be rock,1
3,Alanis Morissette,5,Rumours,6
