carat,cut,color,clarity,depth,table,price,x,y,z
1.2,Premium,H,SI2,62.3,59.0,5846,6.82,6.75,4.23
0.41,Ideal,E,VVS1,61.9,55.0,1367,4.78,4.79,2.96
0.35,Ideal,E,VS2,62.0,55.0,767,4.52,4.54,2.81
0.61,Premium,D,VS2,62.3,55.0,2251,5.47,5.42,3.39
0.37,Ideal,E,VS2,61.9,53.0,811,4.62,4.65,2.87
1.03,Premium,D,VVS2,60.1,58.0,11335,6.55,6.6,3.95
2.55,Premium,I,VS1,61.8,62.0,18766,8.7,8.65,5.36
0.43,Ideal,G,SI1,62.2,54.0,763,4.84,4.88,3.02
1.86,Very Good,J,VS2,62.5,55.0,10798,7.81,7.9,4.91
0.35,Premium,F,SI1,60.2,58.0,748,4.6,4.54,2.75
0.31,Very Good,F,VVS1,62.4,57.0,897,4.3,4.32,2.69
0.65,Ideal,E,SI1,61.8,55.0,1862,5.57,5.6,3.45
0.29,Ideal,G,VVS2,61.4,57.0,607,4.27,4.3,2.63
0.24,Ideal,F,VVS2,60.7,56.0,552,3.98,4.03,2.43
0.78,Very Good,E,VS1,60.0,56.0,3601,6.0,6.03,3.61
0.32,Ideal,H,VS1,61.3,55.0,561,4.41,4.43,2.71
2.15,Ideal,H,SI1,61.5,60.0,18470,8.17,8.29,5.06
2.5,Ideal,I,VS2,61.9,57.0,16955,8.7,8.68,5.38
1.17,Ideal,H,VS2,62.4,58.0,6558,6.73,6.71,4.19
0.33,Premium,E,IF,60.8,58.0,1129,4.46,4.49,2.72
0.37,Good,F,VS2,63.3,56.0,746,4.56,4.63,2.91
1.06,Ideal,G,VVS2,61.7,56.0,8358,6.59,6.56,4.06
0.54,Good,G,VS2,56.9,62.0,1637,5.42,5.4,3.08
1.0,Premium,F,SI2,62.4,61.0,4155,6.34,6.32,3.95
0.31,Ideal,D,VS2,61.3,57.0,621,4.36,4.41,2.69
0.57,Very Good,G,I1,59.5,56.9,929,5.42,5.46,3.24
0.76,Ideal,E,SI1,61.3,55.0,3584,5.87,5.91,3.61
0.3,Ideal,D,SI1,61.0,56.0,709,4.33,4.3,2.63
2.0,Premium,H,SI1,61.7,58.0,11200,7.82,7.77,4.81
0.35,Good,H,SI1,63.2,57.0,504,4.48,4.51,2.84
0.38,Premium,F,SI1,62.7,58.0,700,4.6,4.62,2.89
0.31,Good,H,VVS1,63.7,56.0,786,4.33,4.3,2.75
0.34,Ideal,F,VS1,61.1,55.0,764,4.53,4.57,2.78
0.25,Ideal,G,VVS2,62.0,54.0,525,4.05,4.08,2.52
0.6,Premium,H,SI1,62.4,58.0,1170,5.4,5.34,3.35
1.01,Very Good,I,VS2,60.9,59.0,5067,6.42,6.45,3.92
0.7,Ideal,E,VS2,61.9,58.0,2952,5.7,5.73,3.54
1.09,Ideal,F,VVS2,62.0,56.0,10196,6.63,6.6,4.1
1.66,Premium,J,VVS2,62.6,59.0,10062,7.58,7.54,4.73
1.5,Very Good,G,VS1,61.7,63.0,12862,7.31,7.24,4.49
1.36,Premium,F,VS2,59.3,60.0,10929,7.23,7.2,4.28
0.35,Ideal,F,VVS2,62.1,56.0,956,4.56,4.52,2.82
0.31,Ideal,I,SI1,61.4,56.0,430,4.35,4.38,2.68
0.5,Good,I,VS1,61.2,61.0,1193,5.03,5.06,3.09
1.12,Fair,G,VS1,64.8,56.0,5487,6.48,6.52,4.21
1.06,Premium,E,VS2,62.3,58.0,6716,6.49,6.52,4.05
0.96,Ideal,G,SI1,62.6,57.0,4355,6.28,6.24,3.92
