use_id,user_id,platform,platform_version,device,use_type_id
22782,26980,ios,10.2,"iPhone7,2",2
22783,29628,android,6,Nexus 5,3
22784,28473,android,5.1,SM-G903F,1
22785,15200,ios,10.2,"iPhone7,2",3
22786,28239,android,6,ONE E1003,1
22787,12921,android,4.3,GT-I9505,1
22788,28714,android,6,SM-G930F,1
22789,28714,android,6,SM-G930F,1
22790,29592,android,5.1,D2303,1
22791,28775,ios,10.2,"iPhone6,2",3
22792,28217,android,5.1,SM-G361F,1
22793,28217,android,5.1,SM-G361F,1
22794,28217,android,5.1,SM-G361F,1
22795,28217,android,5.1,SM-G361F,1
22796,29641,ios,10.2,"iPhone7,2",3
22797,29642,ios,10.1,"iPhone5,2",3
22798,29642,ios,10.1,"iPhone5,2",3
22799,29643,android,6,ONEPLUS A3003,1
22800,14785,android,4.4,SM-A300FU,1
22801,10976,android,4.4,GT-I9505,1
22802,10976,android,4.4,GT-I9505,3
22803,29644,android,5.1,ONE E1003,3
22804,29645,android,6,SM-G935F,1
22805,29646,android,4.2,GT-I9195,1
22806,21615,android,6,A0001,1
22807,29647,android,6,ONEPLUS A3003,1
22808,29065,android,6,SM-G900F,1
22809,29648,ios,10.2,"iPhone7,2",3
22810,29649,ios,10.2,"iPhone8,1",3
22811,29650,ios,9.3,"iPad3,1",3
22812,29650,ios,9.3,"iPad3,1",3
22813,23415,android,4.4,HTC Desire 510,1
22814,23415,android,4.4,HTC Desire 510,1
22815,23415,android,4.4,HTC Desire 510,1
22816,23415,android,4.4,HTC Desire 510,1
22817,23415,android,4.4,HTC Desire 510,1
22818,23415,android,4.4,HTC Desire 510,3
22819,29651,android,4.4,HTC One mini 2,1
22820,29651,android,4.4,HTC One mini 2,1
22821,29651,android,4.4,HTC One mini 2,3
22822,29651,android,4.4,HTC One mini 2,1
22823,29652,android,6,SM-G900F,1
22824,28953,android,6,SM-G900F,1
22825,26668,ios,10.1,"iPhone9,4",2
22826,26668,ios,10.1,"iPhone9,4",2
22827,29641,ios,10.2,"iPhone7,2",3
22828,29641,ios,10.2,"iPhone7,2",3
22829,29653,ios,10.1,"iPhone7,2",2
22830,29065,android,6,SM-G900F,1
22831,6541,android,4.1,GT-I8190N,1
22832,29295,android,6,D5803,1
22833,24847,android,6,E6653,1
22834,29654,android,6,SM-G900F,1
22835,29352,android,6,SM-G920F,3
22836,29352,android,6,SM-G920F,3
22837,29641,ios,10.2,"iPhone7,2",3
22838,23321,ios,9.3,"iPhone7,2",2
22839,29655,android,6,A0001,1
22840,28551,android,6,SM-G935F,1
22841,29656,android,5.1,SM-G361F,3
22842,29657,ios,10.2,"iPhone8,4",3
22843,29657,ios,10.2,"iPhone8,4",3
22844,29658,ios,9.3,"iPad2,4",3
22845,29658,ios,9.3,"iPad2,4",3
22846,29658,ios,9.3,"iPad2,4",3
22847,29658,ios,9.3,"iPad2,4",3
22848,29658,ios,9.3,"iPad2,4",3
22849,29659,android,6,SM-A310F,1
22850,29659,android,6,SM-A310F,1
22851,28796,ios,10,"iPhone5,2",3
22852,29518,android,6,SM-G935F,1
22853,29518,android,6,SM-G935F,1
22854,29592,android,5.1,D2303,1
22855,3191,android,6,SM-N910F,1
22856,29660,android,4.4,SM-G360F,1
22857,26369,ios,10.2,"iPhone7,2",2
22858,29544,android,7,ONEPLUS A3003,1
22859,11125,ios,10.1,"iPhone7,2",2
22860,24747,ios,9.3,"iPhone4,1",3
22861,16663,android,4.1,HTC One S,1
22862,16663,android,4.1,HTC One S,1
22863,29647,android,6,ONEPLUS A3003,1
22864,14720,android,6,SM-G900F,1
22865,14720,android,6,SM-G900F,1
22866,14720,android,6,SM-G900F,1
22867,29661,ios,10.2,"iPhone5,2",2
22868,29661,ios,10.2,"iPhone5,2",2
22869,23349,ios,10.2,"iPhone7,2",2
22870,23349,ios,10.2,"iPhone7,2",2
22871,18883,android,4.3,GT-I9300,1
22872,18883,android,4.3,GT-I9300,3
22873,29662,android,5.1,SM-J320FN,1
22874,27142,android,6,SM-G900F,1
22875,27593,android,5,GT-I9505,1
22876,27593,android,5,GT-I9505,1
22877,29663,android,6,ONE E1003,3
22878,19912,ios,10.2,"iPhone8,1",3
22879,29664,android,6,HTC Desire 530,1
22880,29366,android,5,GT-I9505,1
22881,29665,android,6,HTC Desire 825,1
22882,29666,android,6,F3111,1
22883,29666,android,6,F3111,1
22884,29666,android,6,F3111,1
22885,12438,android,6,SM-G900F,1
22886,29667,android,5.1,SM-G800F,1
22887,29310,android,4.4,GT-I9195,1
22888,29668,android,5,GT-I9505,1
22889,29669,android,6,SM-G920F,1
22890,14268,android,6,SM-G900F,1
22891,29670,android,5,SM-N9005,1
22892,29671,android,7.1,Nexus 5X,1
22893,29672,ios,10.1,"iPhone9,3",3
22894,26335,ios,10.2,"iPhone8,4",2
22895,29673,android,6,SM-G925F,1
22896,29673,android,6,SM-G925F,1
22897,14720,android,6,SM-G900F,1
