Retail Branding,Marketing Name,Device,Model
,,AD681H,Smartfren Andromax AD681H
,,FJL21,FJL21
,,T31,Panasonic T31
,,hws7721g,MediaPad 7 Youth 2
3Q,OC1020A,OC1020A,OC1020A
7Eleven,IN265,IN265,IN265
A.O.I. ELECTRONICS FACTORY,A.O.I.,TR10CS1_11,TR10CS1
AG Mobile,AG BOOST 2,BOOST2,E4010
AG Mobile,AG Flair,AG_Flair,Flair
AG Mobile,AG Go Tab Access 2,AG_Go_Tab_Access_2,AG_Go_Tab_Access_2
AG Mobile,AG Ultra2,AG_Ultra2,Ultra 2
AG Mobile,AG_Go-Tab_Access,md789hwag,AG Go-Tab Access
AG Mobile,AG_Tab_7_0,AG_Tab_7_0,AG_Tab_7_0
AG Mobile,Boost,Boost,Boost
AG Mobile,Chacer,Chacer,Chacer
AG Mobile,Freedom Access,Freedom_Access,Freedom Access
AG Mobile,Freedom E,Freedom_E,Freedom E
AG Mobile,Freedom Plus LTE,Freedom_Plus_LTE,Freedom Plus LTE
AG Mobile,Ghost,Ghost,Ghost
AG Mobile,Glow,Glow,Glow
AG Mobile,HASHTAG,Hashtag,Hashtag
AG Mobile,Hype,Hype,Hype
AG Mobile,Neon,Neon,Neon
AG Mobile,Quest,Quest,Quest
AG Mobile,Rage,Rage,Rage
AG Mobile,STYLE PLUS,STYLE_PLUS,STYLE_PLUS
AG Mobile,Shine,Shine,Shine
AG Mobile,Status,Status,Status
AG Mobile,Style,Style,Style
AG Mobile,Style_2,Style_2,Style 2
AG Mobile,Swift,Swift,Swift
AG Mobile,Swift_Plus,Swift_Plus,Swift_Plus
AG Mobile,ULTRA,Ultra,Ultra
AG Mobile,Zenith,Zenith,Zenith
AG Mobile,Zone,Zone,Zone
AG Mobile,Zoom,Zoom,Zoom
AMTC,AMTC MD1001 Tablet,MD1001,MD1001
AMTC,AMTC MD7008,MD7008A,MD7008
AMTC,AMTC MD7081,MD7081A,MD7081
ANS,ANS Trailblazer,rugged-smartphone,H450R
AOC,A2272PWHT,AOC_WW,G2SMNT
AOC,AOC-A2272PW4T,AOC_WW,G3SMNTA22
AOC,AOC-A2272PW4T,AOC_WW,G3SMNTA24
AOC,AOC-A2472PW4T,G3SMNTA24,G3SMNTA24
AT&T,9020A,tint8_att,9020A
AV,AV10,RCT6203W46,AV10
AV,AV7,RCT6773W22,AV7
AZBox,AZDroid,AZDroid,AZDroid
AZPEN,AZPEN A720,wing-inet,A720
AZPEN,AZPEN A920,wing-ibt,A920
Abocom,AboCom A08SM,A08,A08S
Acer,,C6,Acer E320
Acer,,C6,Acer E320-orange
Acer,,C7,E330
Acer,,C8n,E350
Acer,,K3,E130
Acer,,T2,AT390
Acer,,T603T,TD600
Acer,,a3,Stream
Acer,,a5,S300
